ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
che chengye	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Characteristics of ocular abnormalities in gout patients
che xin	China:Shanghai Jiao Tong Univ, Sch Med, Dept Ophthalmol, Peoples Hosp 9, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Enzyme-Induced Vitreolysis Can Alleviate the Progression of Diabetic Retinopathy Through the HIF-1 alpha Pathway
chen baihua	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp 2, Changsha, Hunan,Peoples R China. Central South University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Delivery of Antioxidant Enzyme Genes to Protect against Ischemia/Reperfusion-Induced Injury to Retinal Microvasculature
chen baihua	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp 2, Changsha, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Efficacy and necessity of prophylactic vitrectomy for acute retinal necrosis syndrome
chen changxi	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	PLOS ONE	Prevalence and Associations of Incomplete Posterior Vitreous Detachment in Adult Chinese: The Beijing Eye Study
chen changxi	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Myopic Maculopathy Imaged by Optical Coherence Tomography The Beijing Eye Study
chen ding	China:Hosp Eye, Wenzhou Med Coll, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	OPHTHALMOLOGY	Sutureless Vitrectomy Incision Architecture in the Immediate Postoperative Period Evaluated In Vivo Using Optical Coherence Tomography
chen ding	China:Hosp Eye, Wenzhou Med Coll, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Increased intravitreous interleukin-18 correlated to vascular endothelial growth factor in patients with active proliferative diabetic retinopathy
chen f	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Yangzhou 225001, Jiangsu,Peoples R China. Yangzhou University	EYE	Safety and efficacy of intravitreal injection of recombinant erythropoietin for protection of photoreceptor cells in a rat model of retinal detachment
chen f	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Yangzhou 225001, Jiangsu,Peoples R China. Yangzhou University	CURRENT EYE RESEARCH	Intravitreal Injection of Soluble Erythropoietin Receptor Exacerbates Photoreceptor Cell Apoptosis in a Rat Model of Retinal Detachment
chen f	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Yangzhou 225001, Jiangsu,Peoples R China. Yangzhou University	CURRENT EYE RESEARCH	Effects of Supplemental Erythropoietin on Its Receptor Expression and Signal Transduction Pathways in Rat Model of Retinal Detachment
chen fenge	China:Shanghai Jiao Tong Univ, Shanghai Peoples Hosp 1, Sch Med, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGY	Acute Intraocular Inflammation Caused by Endotoxin after Intravitreal Injection of Counterfeit Bevacizumab in Shanghai, China
chen fenghua	China:Capital Med Univ, Beijing Ophthalmol Sch, Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr,Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	EFFICACY OF VITRECTOMY WITH TRIAMCINOLONE ASSISTANCE VERSUS INTERNAL LIMITING MEMBRANE PEELING FOR HIGHLY MYOPIC MACULAR HOLE RETINAL DETACHMENT
chen fenghua	China:Capital Med Univ, Beijing Ophthalmol Sch, Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr,Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	VITRECTOMY TREATMENT OF RETINAL DETACHMENTS RELATED TO CHOROIDAL COLOBOMA INVOLVING THE DISK
chen h	China:Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	EYE	Multimodal retinal imaging in a Chinese kindred with familial amyloid polyneuropathy secondary to transthyretin Ile107Met mutation
chen h	China:Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Quantitative Analysis of Retinal Layer Optical Intensities on Three-Dimensional Optical Coherence Tomography
chen h	China:Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	MOLECULAR VISION	Endophenotyping reveals differential phenotype-genotype correlations between myopia-associated polymorphisms and eye biometric parameters
chen h	China:Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	MOLECULAR VISION	Genetic associations in polypoidal choroidal vasculopathy: A systematic review and meta-analysis
chen haibing	China:Shanghai Jiao Tong Univ, Shanghai Clin Ctr, Diabet Shanghai Diabet Inst, Dept Endocrinol & Metab,Affiliated Peoples Hosp 6, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Correlation between Ficolin-3 and Vascular Endothelial Growth Factor-to-Pigment Epithelium-Derived Factor Ratio in the Vitreous of Eyes with Proliferative Diabetic Retinopathy
chen hao	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Prophylactic Effect of Topical Fluoroquinolones in a Rabbit Model of Staphylococcus aureus Endophthalmitis
chen hao	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	BRITISH JOURNAL OF OPHTHALMOLOGY	Characterisation of systemic and ocular drug level of triamcinolone acetonide following a single sub-Tenon injection
chen hao	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Different Intravitreal Properties of Three Triamcinolone Formulations and Their Possible Impact on Retina Practice
chen hao	China:Wenzhou Med Coll, Inst Ocular Pharmacol, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	FURTHER CHARACTERIZATION OF OCULAR SAFETY PROFILE OF COMMERCIALLY AVAILABLE PRESERVED AND PRESERVATIVE-FREE TRIAMCINOLONE ACETONIDE
chen haoyu	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou,Peoples R China. Shantou University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Interactive Expressions of HtrA1 and VEGF in Human Vitreous Humors and Fetal RPE Cells
chen hui	China:Nantong Univ, Affiliated Hosp, Dept Ophthalmol, Nantong, Jiangsu,Peoples R China. Nantong University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Kininogen 1 and insulin-like growth factor binding protein 6: candidate serum biomarkers of proliferative vitreoretinopathy
chen hui	China:Nantong Univ, Affiliated Hosp, Dept Ophthalmol, Nantong, Jiangsu,Peoples R China. Nantong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Elucidation of the Pathogenic Mechanism of Rhegmatogenous Retinal Detachment with Proliferative Vitreoretinopathy by Proteomic Analysis
chen huijin	China:Peking Univ, Hosp 3, Ctr Eye, Beijing 100191,Peoples R China. Peking University	OPHTHALMOLOGY	Endothelial Keratoplasty: The Use of Viscoelastic as an Aid in Reattaching the Dislocated Graft in Abnormally Structured Eyes
chen j	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. Shantou University	EYE	Multimodal retinal imaging in a Chinese kindred with familial amyloid polyneuropathy secondary to transthyretin Ile107Met mutation
chen jiajia	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Biocompatibility and retinal support of a foldable capsular vitreous body injected with saline or silicone oil implanted in rabbit eyes
chen jiajia	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Sustained Mechanical Release of Dexamethasone Sodium Phosphate from a Foldable Capsular Vitreous Body
chen jianhuan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Endophenotyping reveals differential phenotype-genotype correlations between myopia-associated polymorphisms and eye biometric parameters
chen lei	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of adenovirus -mediated brain derived neurotrophic factor in early retinal neuropathy of diabetes in rats
chen lei	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combine intravitreal bevacizumab with Nd: YAG laser hyaloidotomy for valsalva pre-macular haemorrhage and observe the internal limiting membrane changes: a spectralis study
chen lei	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang, Liaoning,Peoples R China. China Medical University	MOLECULAR VISION	Administration of pigment epithelium-derived factor delivered by adeno-associated virus inhibits blood-retinal barrier breakdown in diabetic rats
chen lijia	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Genetic associations in polypoidal choroidal vasculopathy: A systematic review and meta-analysis
chen lijia	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Interactive Expressions of HtrA1 and VEGF in Human Vitreous Humors and Fetal RPE Cells
chen lingyan	China:Shenzhen Childrens Hosp, Dept Ophthalmol, Shenzhen 518026, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Transthyretin Arg-83 mutation in vitreous amyloidosis
chen linxin	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	The effectiveness of progressive addition lenses on the progression of myopia in Chinese children
chen luxia	China:Tianjin Med Univ Eye Ctr, Tianjin 300070,Peoples R China. Tianjin Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	DISPOSABLE SUTURELESS SILICONE CONTACT LENS RING FOR USE WITH A SELF-SEALING CANNULA SYSTEM DURING VITRECTOMY
chen minjie	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Fudan University	JOURNAL OF VISION	Transfer from blue light or green light to white light partially reverses changes in ocular refraction and anatomy of developing guinea pigs
chen ping	China:Shanghai Jiao Tong Univ, Sch Med, Dept Ophthalmol, Peoples Hosp 9, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Enzyme-Induced Vitreolysis Can Alleviate the Progression of Diabetic Retinopathy Through the HIF-1 alpha Pathway
chen qian	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200433,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical characteristics of ocular toxocariasis in Eastern China
chen qianyun	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Visual outcomes of cataract surgery performed by supervised novice surgeons during training in rural China
chen qingshan	China:Shenzhen Eye Hosp, Retina Dept, Shenzhen,Peoples R China. 	OPHTHALMOLOGICA	Clinical characteristics of acute zonal occult outer retinopathy in Chinese patients
chen song	China:Tianjin Med Univ, Gen Hosp, Dept Ophthalmol, Tianjin 300052,Peoples R China. Tianjin Medical University	CURRENT EYE RESEARCH	Reasons for and Management of Postvitrectomy Vitreous Hemorrhage in Proliferative Diabetic Retinopathy
chen w	China:Fudan Univ, Minist Educ, Dept Mol Genet, Shanghai Med Sch, Shanghai 200032,Peoples R China. Fudan University	EYE	Enzymatic vitreolysis with recombinant microplasminogen and tissue plasminogen activator
chen w	China:Fudan Univ, Minist Educ, Dept Mol Genet, Shanghai Med Sch, Shanghai 200032,Peoples R China. Fudan University	CURRENT EYE RESEARCH	Microplasmin Degrades Fibronectin and Laminin at Vitreoretinal Interface and Outer Retina during Enzymatic Vitrectomy
chen w	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. Shantou University	EYE	Multimodal retinal imaging in a Chinese kindred with familial amyloid polyneuropathy secondary to transthyretin Ile107Met mutation
chen w	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. Shantou University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Interactive Expressions of HtrA1 and VEGF in Human Vitreous Humors and Fetal RPE Cells
chen w	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. Shantou University	MOLECULAR VISION	Genetic associations in polypoidal choroidal vasculopathy: A systematic review and meta-analysis
chen wei	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	CORNEA	Securing the Anterior Chamber in Penetrating Keratoplasty: An Innovative Surgical Technique
chen xi	China:Nanjing Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Osteopontin expression in vitreous and proliferative retinal membranes of patients with proliferative vitreous retinopathy
chen xiang	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Refractive Shifts in Four Selected Artificial Vitreous Substitutes Based on Gullstrand-Emsley and Liou-Brennan Schematic Eyes
chen xiang	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	The effectiveness of progressive addition lenses on the progression of myopia in Chinese children
chen xiang	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	A longitudinal study on the relationship between myopia development and near accommodation lag in myopic children
chen xiaolong	China:China Med Univ, Dept Ophthalmol, Shengjing Hosp, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of the dipeptide Arg-Gln on retinopathy of prematurity in mice
chen xinjian	China:Soochow Univ, Sch Elect & Informat Engn, Suzhou,Peoples R China. Suzhou University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Quantitative Analysis of Retinal Layer Optical Intensities on Three-Dimensional Optical Coherence Tomography
chen y	China:Xiamen Univ, Inst Eye, Xiamen,Peoples R China. Xiamen University	EYE	Plasma and vitreous fluid levels of Dickkopf-1 in patients with diabetic retinopathy
chen yan	China:Affiliated Eye Hosp, Wenzhou Med Coll, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	VITRECTOMY AND INTERNAL LIMITING MEMBRANE PEELING WITH PERFLUOROPROPANE TAMPONADE OR BALANCED SALINE SOLUTION FOR MYOPIC FOVEOSCHISIS
chen yanting	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Residual lens cortex material: Potential risk factor for endophthalmitis after phacoemulsification cataract surgery
chen yiqi	China:Hosp Eye, Wenzhou, Zhejiang,Peoples R China. 	OPHTHALMOLOGY	Intraocular and Systemic Pharmacokinetics of Triamcinolone Acetonide after a Single 40-mg Posterior Subtenon Application
chen yiye	China:Shanghai Jiao Tong Univ, Sch Med, Xinhua Hosp, Dept Ophthalmol, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	ACTA OPHTHALMOLOGICA	Early vitreoretinal surgery on vascularly active stage 4 retinopathy of prematurity through the preoperative intravitreal bevacizumab injection
chen youzhen	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Hainan Eye Hosp, Haikou,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Rac1 modulates the vitreous-induced plasticity of mesenchymal movement in retinal pigment epithelial cells
chen yuanyuan	China:Chongqing Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol,Chongqing Eye Inst, Chongqing 400016,Peoples R China. Chongqing Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	OCULAR MANIFESTATIONS OF SYPHILITIC UVEITIS IN CHINESE PATIENTS
chen zhao	China:Henan Eye Hosp, Henan Eye Inst, Dept Ophthalmol, Zhengzhou 450003,Peoples R China. 	JOURNAL OF NEURO-OPHTHALMOLOGY	Vitreous Seeding From a Large Optic Disc Melanocytoma
chen zhen	China:Wuhan Univ, Ctr Eye, Renmin Hosp, Wuhan 430060,Peoples R China. Wuhan University	MOLECULAR VISION	Overexpression of 15-lipoxygenase-1 in oxygen-induced ischemic retinopathy inhibits retinal neovascularization via downregulation of vascular endothelial growth factor-A expression
chen zhiqing	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Co-existent choroidal neovascular membrane and macular hole in pathologic myopia: a long follow-up clinical outcome and literature review
cheng haiting	China:Capital Med Univ, Dept Pharmacol, Sch Basic Med Sci, Beijing 100730,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PHARMACOKINETIC COMPARISON OF KETOROLAC AFTER INTRACAMERAL, INTRAVITREAL, AND SUPRACHOROIDAL ADMINISTRATION IN RABBITS
cheng huanhuan	China:Jinan Univ, Dept Ophthalmol, Affiliated Hosp 1, Guangzhou 510630, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endogenous aspergillus endophthalmitis after kidney transplantation
cheng jinwei	China:Second Mil Med Univ, Affiliated Hosp 2, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of intravitreal injection of bevacizumab-chitosan nanoparticles on retina of diabetic rats
cheng lingyun	China:Univ Calif San Diego, Dept Ophthalmol, Jacobs Retina Ctr, Shiley Eye Ctr, La Jolla, CA 92093 USA. University of California San DiegoUniversity of California System	BRITISH JOURNAL OF OPHTHALMOLOGY	Characterisation of systemic and ocular drug level of triamcinolone acetonide following a single sub-Tenon injection
cheng lingyun	China:Univ Calif San Diego, Dept Ophthalmol, Jacobs Retina Ctr, Shiley Eye Ctr, La Jolla, CA 92093 USA. University of California San DiegoUniversity of California System	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Different Intravitreal Properties of Three Triamcinolone Formulations and Their Possible Impact on Retina Practice
