abdulhalim sancar	China:Wuhan Univ, Dept Ophthalmol, Zhongnan Hosp, Wuhan 430072, Hubei,Peoples R China. Wuhan University	PLOS ONE	Anti-VEGF Agents with or without Antimetabolites in Trabeculectomy for Glaucoma: A Meta-Analysis
bai zongxi	China:Gen Hosp Tibet Mil Command, Dept Ophthalmol, Lhasa 850007, Tibet Autonomou,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Prevalence and risk factors for eye diseases, blindness, and low vision in Lhasa, Tibet
baig n	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	EYE	Topiramate and asymptomatic ocular angle narrowing: a prospective pilot study
baig n	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Pressure-cornea-vascular index (PCVI) for predicting disease progression in normal tension glaucoma
baig n	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Clear Lens Extraction for Angle Closure Author reply
baig n	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Phacoemulsification versus Trabeculectomy in Medically Uncontrolled Chronic Angle-Closure Glaucoma without Cataract
baig n	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Phacoemulsification versus Trabeculectomy in Medically Uncontrolled Chronic Angle-Closure Glaucoma without Cataract Reply
bao fangjun	China:Hosp Eye, Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EXPERIMENTAL EYE RESEARCH	Effect of glucose on the stress-strain behavior of ex-vivo rabbit cornea
bao fangjun	China:Hosp Eye, Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	CORNEA	Comparison and Evaluation of Central Corneal Thickness Using 2 New Noncontact Specular Microscopes and Conventional Pachymetry Devices
bi chunchao	China:Xian 4 Hosp, Dept Ophthalmol, Xian 710004, Shaanxi Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Multiple methods of surgical treatment combined with primary IOL implantation on traumatic lens subluxation/dislocation in patients with secondary glaucoma
bi hongsheng	China:Shandong Univ Tradit Chinese Med, Inst Eye, Jinan, Shandong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Intraocular Pressure and Associated Factors in Children: The Shandong Children Eye Study
bin liyi	China:Capital Univ Med Sci, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Association of beta zone of parapapillary atrophy with age-related macular degeneration in adult Chinese. The Beijing Eye Study
bin weiwen	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Visual Acuity and Subfoveal Choroidal Thickness: The Beijing Eye Study
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	OPHTHALMOLOGICA	Efficacy and Tolerability of Nonpenetrating Filtering Surgery in the Treatment of Open-Angle Glaucoma: A Meta-Analysis
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Efficacy and tolerability of nonpenetrating glaucoma surgery augmented with mitomycin C in treatment of open-angle glaucoma: a meta-analysis
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	JOURNAL OF GLAUCOMA	A Meta-analysis of Topical Prostaglandin Analogs in the Treatment of Chronic Angle-closure Glaucoma
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	JOURNAL OF GLAUCOMA	Efficacy and Tolerability of Nonpenetrating Filtering Surgery With and Without Implant in Treatment of Open Angle Glaucoma A Quantitative Evaluation of the Evidence
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	JOURNAL OF GLAUCOMA	The Prevalence of Primary Glaucoma in Mainland China: A Systematic Review and Meta-analysis
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Meta-analysis of selective laser trabeculoplasty with argon laser trabeculoplasty in the treatment of open-angle glaucoma
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	PLOS ONE	Myocilin Polymorphisms and Primary Open-Angle Glaucoma: A Systematic Review and Meta-Analysis
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	JOURNAL OF GLAUCOMA	Intraoperative Mitomycin C for Nonpenetrating Glaucoma Surgery A Systematic Review and Meta-analysis
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Efficacy and Tolerability of Fixed Combination of Brimonidine 0.2%/Timolol 0.5% Compared with Fixed Combination of Dorzolamide 2%/Timolol 0.5% in the Treatment of Patients with Elevated Intraocular Pressure: A Meta-Analysis of Randomized Controlled Trials
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Efficacy and Tolerability of Latanoprost Compared to Dorzolamide Combined with Timolol in the Treatment of Patients with Elevated Intraocular Pressure: A Meta-Analysis of Randomized, Controlled Trials
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	OPHTHALMOLOGY	Meta-analysis of Medical Intervention for Normal Tension Glaucoma
cai ping	China:Third Mil Med Univ, Southwest Hosp, Dept Radiol, Chongqing 400038,Peoples R China. Third Military Medical University	CURRENT EYE RESEARCH	Voxel-based Morphometry of the Visual-related Cortex in Primary Open Angle Glaucoma
cai suping	China:Jinan Univ, Shenzhen Eye Hosp, Shenzhen 518000, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Single nucleotide polymorphism of MYOC affected the severity of primary open angle glaucoma
cai suping	China:Jinan Univ, Shenzhen Eye Hosp, Shenzhen 518000, Guangdong,Peoples R China. Jinan University	MOLECULAR VISION	A novel MYOC heterzygous mutation identified in a Chinese Uygur pedigree with primary open-angle glaucoma
cai suping	China:Jinan Univ, Shenzhen Eye Hosp, Shenzhen 518000, Guangdong,Peoples R China. Jinan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Structural Brain Abnormalities in Patients with Primary Open-Angle Glaucoma: A Study with 3T MR Imaging
cai suping	China:Jinan Univ, Shenzhen Eye Hosp, Shenzhen 518000, Guangdong,Peoples R China. Jinan University	EXPERIMENTAL EYE RESEARCH	Neuroprotective effects of C3 exoenzyme in excitotoxic retinopathy
cai suping	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041, Sichuan,Peoples R China. Sichuan University	MOLECULAR VISION	Characterization of intraocular pressure responses of the Tibetan monkey (Macaca thibetana)
cai suping	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041, Sichuan,Peoples R China. Sichuan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Neuroprotective Effects of C-Type Natriuretic Peptide on Rat Retinal Ganglion Cells
cai suping	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041, Sichuan,Peoples R China. Sichuan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Inhibition of latrunculin -A on dexamethasone - induced fibronectin production in cultured human trabecular meshwork cells
cai xiaojun	China:Wuhan Univ, Dept Ophthalmol, Zhongnan Hosp, Wuhan 430072, Hubei,Peoples R China. Wuhan University	PLOS ONE	Anti-VEGF Agents with or without Antimetabolites in Trabeculectomy for Glaucoma: A Meta-Analysis
cai xiaoyu	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Appositional Closure Identified by Ultrasound Biomicroscopy in Population-Based Primary Angle-Closure Glaucoma Suspects: The Liwan Eye Study
cai xiaoyu	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Quantitative Measurements of the Ciliary Body in Eyes with Malignant Glaucoma after Trabeculectomy Using Ultrasound Biomicroscopy
cai youquan	China:Peoples Liberat Army Gen Hosp, Dept Radiol, Beijing,Peoples R China. 	PLOS ONE	Reliability of Three-Dimensional Pseudo-Continuous Arterial Spin Labeling MR Imaging for Measuring Visual Cortex Perfusion on Two 3T Scanners
cao dan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	ACTA OPHTHALMOLOGICA	Phacoemulsification combined with posterior capsulorhexis and anterior vitrectomy in the management of malignant glaucoma in phakic eyes
cao dan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Anticipation, anti-glaucoma drug treatment response and phenotype of a Chinese family with glaucoma caused by the Pro370Leu myocilin mutation
cao dan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Association of the single nucleotide polymorphisms in the extracellular matrix metalloprotease-9 gene with PACG in southern China
cao dan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Investigation of the association between CALCRL polymorphisms and primary angle closure glaucoma
cao guiqun	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041,Peoples R China. Sichuan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Neuroprotective Effects of C-Type Natriuretic Peptide on Rat Retinal Ganglion Cells
cao guiqun	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041,Peoples R China. Sichuan University	MOLECULAR VISION	Evaluation of monkey intraocular pressure by rebound tonometer
cao lei	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Provin,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinical effect of improved viscocanalostomy for the treatment of primary congenital glaucoma
cao qun	China:Beijing Union Med Coll Hosp, Dept Ophthalmol, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPHTHALMOLOGICA	Retinal nerve fiber layer images captured by GDx-VCC in early diagnosis of glaucoma
cao weifang	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Anterior chamber depth and chamber angle and their associations with ocular and general parameters: The Beijing eye study
cao weifang	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Anterior segment optical coherence tomography of acute primary angle closure
cao xu	China:Sichuan Univ, W China Hosp, Translat Neurosci Ctr, Ophthalm Labs, Chengdu,Peoples R China. Sichuan University	MOLECULAR VISION	A novel MYOC heterzygous mutation identified in a Chinese Uygur pedigree with primary open-angle glaucoma
cen lingping	China:Joint Shantou Int Eye Ctr Shantou Univ & Chinese, Shantou,Peoples R China. 	MOLECULAR VISION	Adeno-associated virus-mediated expression of growth-associated protein-43 aggravates retinal ganglion cell death in experimental chronic glaucomatous injury
cha xueping	China:Kunming Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Kunming 650032,Peoples R China. Kunming Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Prevalence of Glaucoma in Adult Rural Chinese Populations of the Bai Nationality in Dali: The Yunnan Minority Eye Study
chai fang	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Down-regulation of GRP78 in human glaucomatous trabecular meshwork cells
chai fang	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Dexamethasone disrupts intercellular junction formation and cytoskeleton organization in human trabecular meshwork cells
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Phacoemulsification Versus Combined Phacotrabeculectomy Medically Controlled Chronic Angle Closure Glaucoma with Cataract
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Bilateral Deepening of Upper Lid Sulcus From Topical Bimatoprost Therapy
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMIC SURGERY LASERS & IMAGING	Retinal Nerve Fiber Layer Thickness After a Single Attack of Primary Acute Angle-Closure Glaucoma Measured With Optical Coherence Tomography
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	DOCUMENTA OPHTHALMOLOGICA	Global flash multifocal electroretinogram: early detection of local functional changes and its correlations with optical coherence tomography and visual field tests in diabetic eyes
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effects of luminance combinations on the characteristics of the global flash multifocal electroretinogram (mfERG)
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Early local functional changes in the human diabetic retina: a global flash multifocal electroretinogram study
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Effect of inner retinal dysfunction on slow double-stimulation multifocal electroretinogram
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	CLINICAL AND EXPERIMENTAL OPTOMETRY	Forward and backward adaptive effects in global flash multifocal electroretinogram stimulation
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	DOCUMENTA OPHTHALMOLOGICA	Pharmacologically defined components of the normal porcine multifocal ERG
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Luminance-modulated adaptation in the global flash mfERG: a preliminary study of early retinal functional changes in high-risk glaucoma patients
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	VISION RESEARCH	Porcine global flash multifocal electroretinogram: Possible mechanisms for the glaucomatous changes in contrast response function
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	EYE	Correlation of previous acute angle-closure attack with extent of synechial angle closure in chronic primary angle-closure glaucoma patients
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	EYE	Corneal changes after a single session of selective laser trabeculoplasty for open-angle glaucoma
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Phacoemulsification Versus Combined Phacotrabeculectomy Medically Controlled Chronic Angle Closure Glaucoma with Cataract
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	ARCHIVES OF OPHTHALMOLOGY	Phacoemulsification vs Phacotrabeculectomy in Chronic Angle-closure Glaucoma With Cataract Complications
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Phacoemulsification versus Combined Phacotrabeculectomy in Medically Uncontrolled Chronic Angle Closure Glaucoma with Cataracts
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	JOURNAL OF GLAUCOMA	Predictors of Success in Selective Laser Trabeculoplasty for Chinese Open-angle Glaucoma
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Photodynamic Therapy With or Without Intravitreal Triamcinolone Acetonide for Symptomatic Polypoidal Choroidal Vasculopathy
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Clinical characteristics and surgical outcomes of phacoemulsification in true exfoliation syndrome
chan chan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Choroidal Thickness Measurement in Myopic Eyes by Enhanced Depth Optical Coherence Tomography
chan clementwainang	China:Tung Wah Eastern Hosp, Dept Ophthalmol, Causeway Bay, Hong Kong,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Capsule membrane growth complicating glaucoma and corneal decompensation after neodymium:YAG capsulotomy
chan elice	China:Private Eye Ctr, Hong Kong, Hong Kong,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Effect of laser in situ keratomileusis on rebound tonometry and Goldmann applanation tonometry
chan henryholung	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	BRITISH JOURNAL OF OPHTHALMOLOGY	Detection of early functional changes in diabetic retina using slow double-stimulation mfERG paradigm
chan henryholung	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Applications of the multifocal electroretinogram in the detection of glaucoma
chan henryholung	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Myopia Progression in Children Is Linked with Reduced Foveal mfERG Response
chan jy	China:Queen Mary Hosp, Dept Surg, Div Head & Neck Surg, Pokfulam, Hong Kong,Peoples R China. University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Effects of unilateral internal jugular vein removal on intraocular pressure
chan kevinc	China:Univ Hong Kong, State Key Lab Brain & Cognit Sci, Pokfulam, Hong Kong,Peoples R China. University of Hong Kong	EXPERIMENTAL EYE RESEARCH	GD-DTPA enhanced MRI of ocular transport in a rat model of chronic glaucoma
chan kevinc	China:Univ Hong Kong, State Key Lab Brain & Cognit Sci, Pokfulam, Hong Kong,Peoples R China. University of Hong Kong	EXPERIMENTAL EYE RESEARCH	Proton magnetic resonance spectroscopy revealed choline reduction in the visual cortex in an experimental model of chronic glaucoma
chan poemen	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Pressure-cornea-vascular index (PCVI) for predicting disease progression in normal tension glaucoma
chan rc	China:Queen Mary Hosp, Dept Surg, Div Head & Neck Surg, Pokfulam, Hong Kong,Peoples R China. University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Effects of unilateral internal jugular vein removal on intraocular pressure
chan tommyc	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Cataract surgery outcomes in adult patients with Down's syndrome
chan waiman	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Photodynamic Therapy With or Without Intravitreal Triamcinolone Acetonide for Symptomatic Polypoidal Choroidal Vasculopathy
chang dollys	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Longitudinal Changes of Angle Configuration in Primary Angle-Closure Suspects The Zhongshan Angle-Closure Prevention Trial
chang dong	China:Harbin Med Univ, Affiliated Hosp 1, Eye Hosp Heilongjiang Prov, Harbin,Peoples R China. Harbin Medical University	PLOS ONE	The Evaluation of the Oxidative Stress Parameters in Patients with Primary Angle-Closure Glaucoma
