adan alfredo	China:Chinese Univ Hong Kong, Dept Ophthalmol, Hong Kong Sanat & Hosp, Happy Valley, Hong Kong,Peoples R China. Chinese University of Hong Kong	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Visual Outcomes of Intravitreal Bevacizumab in Inflammatory Ocular Neovascularization
bai ling	China:Xi An Jiao Tong Univ, Affiliated Hosp 2, Sch Med, Xian 710049,Peoples R China. Xian Jiaotong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Primary Culture of Human Blood-Retinal Barrier Cells and Preliminary Study of APOBEC3 Expression: An In Vitro Study
bai shuwei	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing 100005,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Lentiviral Vector-Mediated PAX6 Overexpression Promotes Growth and Inhibits Apoptosis of Human Retinoblastoma Cells
bai x	China:Xiamen Univ, Xiamen Eye Ctr, Xiamen,Peoples R China. Xiamen University	EYE	Plasma and vitreous fluid levels of Dickkopf-1 in patients with diabetic retinopathy
bai xuewei	China:Peoples Hosp Ningxia Hui Autonomous Reg, Ningxia Eye Hosp, Yinchuan 750011, Ningxia Hui Aut,Peoples R China. 	OPHTHALMIC GENETICS	Association of Specific Genetic Polymorphisms with Age-related Macular Degeneration in a Northern Chinese Population
bai yujing	China:Chinese Acad Med Sci, Peking Union Med Coll, Beijing Key Lab Diag & Therapy Retinal & Choroid, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPHTHALMIC RESEARCH	ABCA1 rs1883025 Polymorphism Shows No Association with Neovascular Age-Related Macular Degeneration or Polypoidal Choroidal Vasculopathy in a Northern Chinese Population
bai yujing	China:Chinese Acad Med Sci, Peking Union Med Coll, Beijing Key Lab Diag & Therapy Retinal & Choroid, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPHTHALMIC RESEARCH	rs4711751 and rs1999930 Are Not Associated with Neovascular Age-Related Macular Degeneration or Polypoidal Choroidal Vasculopathy in the Chinese Population
bai yujing	China:Chinese Acad Med Sci, Peking Union Med Coll, Beijing Key Lab Diag & Therapy Retinal & Choroid, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	MOLECULAR VISION	Semaphorin 3A blocks the formation of pathologic choroidal neovascularization induced by transforming growth factor beta
bai yujing	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effects of Semaphorin 3A on Retinal Pigment Epithelial Cell Activity
bai yujing	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Different Hereditary Contribution of the CFH Gene Between Polypoidal Choroidal Vasculopathy and Age-Related Macular Degeneration in Chinese Han People
bai yujing	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	MOLECULAR VISION	TOMM40 rs2075650 polymorphism shows no association with neovascular age-related macular degeneration or polypoidal choroidal vasculopathy in a Chinese population
bai yujing	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	OPHTHALMOLOGICA	Complement Factor I Polymorphism Is Not Associated with Neovascular Age-Related Macular Degeneration and Polypoidal Choroidal Vasculopathy in a Chinese Population
bai yujing	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Anti-angiogenic effect of KH902 on retinal neovascularization
bai yujing	China:Peking Univ, Peoples Hosp, Dept Ophthalmol, Beijing 100871,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	TNFRSF10A-LOC389641 rs13278062 But Not REST-C4orf14-POLR2B-IGFBP7 rs1713985 Was Found Associated With Age-Related Macular Degeneration in a Chinese Population
bai yujing	China:Peking Univ, Peoples Hosp, Key Lab Vis Loss & Restorat, Minist Educ,Dept Ophthalmol, Beijing 100044,Peoples R China. Peking University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Antiangiogenesis Effects of Endostatin in Retinal Neovascularization
bai yujing	China:Peking Univ, Peoples Hosp, Key Lab Vis Loss & Restorat, Minist Educ,Dept Ophthalmol, Beijing 100044,Peoples R China. Peking University	MOLECULAR VISION	Inhibition of pathological retinal neovascularization by semaphorin 3A
bai yujing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	In Glaucoma the Upregulated Truncated TrkC.T1 Receptor Isoform in Glia Causes Increased TNF-alpha Production, Leading to Retinal Ganglion Cell Death
bai yujing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	An Agonistic TrkB mAb Causes Sustained TrkB Activation, Delays RGC Death, and Protects the Retinal Structure in Optic Nerve Axotomy and in Glaucoma
bai yujing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Elevated pressure downregulates ZO-1 expression and disrupts cytoskeleton and focal adhesion in human trabecular meshwork cells
bai zhengzhong	China:Heilongjiang Inst Drug Control, Harbin, Heilongjiang Pr,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effect of menthol on ocular drug delivery
bai zhilan	China:Xi An Jiao Tong Univ, Grp Ophthalmol Epidemiol Study, Hosp 2, Xian 710004, Shaanxi Prov,Peoples R China. Xian Jiaotong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Epidemiological investigation on age related macular degeneration in rural area of Shaanxi Province, China
bai zhilan	China:Xi An Jiao Tong Univ, Grp Ophthalmol Epidemiol Study, Hosp 2, Xian 710004, Shaanxi Prov,Peoples R China. Xian Jiaotong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Magnetic resonance diffusion tensor imaging of optic nerve and optic radiation in healthy adults at 3T
baig nb	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	EYE	Surgically induced astigmatism in phacoemulsification, pars plana vitrectomy, and combined phacoemulsification and vitrectomy: a comparative study
bao jinhua	China:Wenzhou Med Coll, Wenzhou 325000, Zheijiang,Peoples R China. Wenzhou Medical University	JOURNAL OF VISION	The effect of blur adaptation on accommodative response and pupil size during reading
bao lingzhi	China:Handan Eye Hosp, Handan, Hebei Province,Peoples R China. 	OPHTHALMOLOGY	Normal Macular Thickness Measurements Using Optical Coherence Tomography in Healthy Eyes of Adult Chinese Persons: The Handan Eye Study
bao y	China:Peking Univ, Peoples Hosp, Peoples Eye Ctr, Beijing 100044,Peoples R China. Peking University	BRITISH JOURNAL OF OPHTHALMOLOGY	Correlation of lens density measured using the Pentacam Scheimpflug system with the Lens Opacities Classification System III grading score and visual acuity in age-related nuclear cataract
bao y	China:Peking Univ, Peoples Hosp, Peoples Eye Ctr, Beijing 100044,Peoples R China. Peking University	CURRENT EYE RESEARCH	Association of C3 Gene Polymorphisms with Neovascular Age-Related Macular Degeneration in a Chinese Population
bao y	China:Peking Univ, Peoples Hosp, Peoples Eye Ctr, Beijing 100044,Peoples R China. Peking University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	Axial length measurements before and after removal of silicone oil: a new method to correct the axial length of silicone-filled eyes for optical biometry
bao yongqin	China:HeBei Med Univ, Dept Ophthalmol, Hosp 2, Shijiazhuang 050000, Hebei,Peoples R China. Hebei Medical University	EXPERIMENTAL EYE RESEARCH	Retinoic acid suppresses the adhesion and migration of human retinal pigment epithelial cells
bao yuqian	China:Shanghai Jiao Tong Univ, Shanghai Key Lab Diabet Mellitus, Dept Endocrinol & Metab, Shanghai Diabet Inst,Affiliated Peoples Hosp 6,Sh, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	PLOS ONE	A Microalbuminuria Threshold to Predict the Risk for the Development of Diabetic Retinopathy in Type 2 Diabetes Mellitus Patients
baum larry	China:Chinese Univ Hong Kong, Dept Med & Therapeut, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	EDN1 Lys198Asn is associated with diabetic retinopathy in type 2 diabetes
bedell matthew	China:Univ Calif San Diego, Inst Genom Med, La Jolla, CA 92093 USA. University of California San DiegoUniversity of California System	BRITISH JOURNAL OF OPHTHALMOLOGY	Production of ELOVL4 transgenic pigs: a large animal model for Stargardt-like macular degeneration
benzie benzie	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Relationships among Diabetic Retinopathy, Antioxidants, and Glycemic Control
bi chuncao	China:Xi An Jiao Tong Univ, Sch Med, Affiliated Guangren Hosp, Shaanxi Ophthalm Med Ctr,Xian Hosp 4, Xian 710049,Peoples R China. Xian Jiaotong University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	EFFICACY OF VITRECTOMY WITH TRIAMCINOLONE ASSISTANCE VERSUS INTERNAL LIMITING MEMBRANE PEELING FOR HIGHLY MYOPIC MACULAR HOLE RETINAL DETACHMENT
bi chuncao	China:Xi An Jiao Tong Univ, Sch Med, Affiliated Guangren Hosp, Shaanxi Ophthalm Med Ctr,Xian Hosp 4, Xian 710049,Peoples R China. Xian Jiaotong University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	VITRECTOMY COMBINED WITH PERIOCULAR/INTRAVITREAL INJECTION OF STEROIDS FOR RHEGMATOGENOUS RETINAL DETACHMENT ASSOCIATED WITH CHOROIDAL DETACHMENT
bi chunchao	China:Xian 4 Hosp, Dept Ophthalmol, Xian 710004, Shaanxi Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Multiple methods of surgical treatment combined with primary IOL implantation on traumatic lens subluxation/dislocation in patients with secondary glaucoma
bi hansi	China:Fourth Peoples Hosp Shenyang, Dept Ophthalmol, Shenyang 110031, Liaoning,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Comparison of bevacizumab and ranibizumab in age-related macular degeneration: a systematic review and meta-analysis
bi hongsheg	China:Shandong Univ Tradit Chinese Med, Affiliated Eye Hosp, Dept Ophthalmol, Jinan 250002, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combintion of ranibizumab with photodynamic therapy vsranibizumab rnonotherapy in the treatment of age-related macular degeneration: a systematic review and meta-analysis of randomized controlled trials
bi hongsheng	China:Shandong Shierming Eye Hosp, Jinan 250002,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	The contrasting effect of estrogen on mRNA expression of VEGF in bovine retinal vascular endothelial cells under different oxygen conditions
bi hongsheng	China:Shandong Shierming Eye Hosp, Jinan 250002,Peoples R China. 	CURRENT EYE RESEARCH	Pigment Epithelium-Derived Factor Gene Polymorphisms in Exudative Age-Related Degeneration in a Chinese Cohort
bi hongsheng	China:Shandong Shierming Eye Hosp, Jinan 250002,Peoples R China. 	OPHTHALMIC RESEARCH	Vascular Endothelial Growth Factor Gene Polymorphisms and Risk of Neovascular Age-Related Macular Degeneration in a Chinese Cohort
bi hongsheng	China:Shandong Shierming Eye Hosp, Jinan 250002,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	ANALYSES OF SINGLE NUCLEOTIDE POLYMORPHISMS AND HAPLOTYPE LINKAGE OF LOC387715 AND THE HTRA1 GENE IN EXUDATIVE AGE-RELATED MACULAR DEGENERATION IN A CHINESE COHORT
bi hongsheng	China:Shandong Univ Tradit Chinese Med, Affiliated Eye Hosp, Jinan, Shandong,Peoples R China. 	MOLECULAR VISION	The proliferation of malignant melanoma cells could be inhibited by ranibizumab via antagonizing VEGF through VEGFR1
bi xiaoping	China:Jiao Tong Univ, Sch Med, Shanghai Peoples Hosp 9, Dept Ophthalmol, Shanghai 200011,Peoples R China. Shanghai Jiao Tong University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PHARMACOLOGIC VITREOLYSIS WITH PLASMIN AND HYALURONIDASE IN DIABETIC RATS
bi yufang	China:Shanghai Jiao Tong Univ, Dept Endocrinol, Ruijin Hosp, Sch Med, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effects of intensive control of blood glucose and blood pressure on microvascular complications in patients with type II diabetes mellitus
bin liyi	China:Capital Univ Med Sci, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Association of beta zone of parapapillary atrophy with age-related macular degeneration in adult Chinese. The Beijing Eye Study
bin weiwen	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Risk factors for diabetic retinopathy in a rural Chinese population with type 2 diabetes: the Handan Eye Study
bin weiwen	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Visual Acuity and Subfoveal Choroidal Thickness: The Beijing Eye Study
bin xiexiao	China:Capital Med Univ, Beijing Ophthalmol & Visual Sci Key Lab, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing,Peoples R China. Capital Medical University	PLOS ONE	Diabetic Retinopathy and Estimated Cerebrospinal Fluid Pressure. The Beijing Eye Study 2011
brelen martene	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	PLOS ONE	Diabetes Mellitus and Risk of Age-Related Macular Degeneration: A Systematic Review and Meta-Analysis
bu hong	China:Sichuan Univ, Dept Pathol, Chengdu 610064,Peoples R China. Sichuan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Modulation of Retinal Muller Cells by Complement Receptor C5aR
bu limin	China:China Med Univ, Affiliated Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	CTGFsiRNA ameliorates retinal cells apoptosis in streptozotocin-induced diabetic rats
bu limin	China:China Med Univ, Shengjing Affiliated Hosp, Dept Ophthalmol, Shenyang 110004,Peoples R China. China Medical University	ACTA OPHTHALMOLOGICA	The role of CTGF in the diabetic rat retina and its relationship with VEGF and TGF-beta(2), elucidated by treatment with CTGFsiRNA
bu shaochong	China:Univ Groningen, Univ Med Ctr Groningen, WJ Kolff Inst, Grad Sch Med Sci, Groningen, Netherlands. University of Groningen	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	GLIAL CELLS AND COLLAGENS IN EPIRETINAL MEMBRANES ASSOCIATED WITH IDIOPATHIC MACULAR HOLES
bu shuyang	China:Soochow Univ, Affiliated Hosp 2, Dept Ophthalmol, Suzhou 215004,Peoples R China. Suzhou University	ACTA OPHTHALMOLOGICA	Expression of insulin-like growth factor 1 receptor in rat retina following optic nerve injury
bu xiangning	China:Capital Med Univ, Beijing Inst Neurosci, Beijing 100069,Peoples R China. Capital Medical University	VISION RESEARCH	Determination of conventional protein kinase C isoforms involved in high intraocular pressure-induced retinal ischemic preconditioning of rats
cai changsi	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Lab Visual Sci, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	DOCUMENTA OPHTHALMOLOGICA	Response properties of electrically evoked potential elicited by multi-channel penetrative optic nerve stimulation in rabbits
cai changsi	China:Shanghai Jiao Tong Univ, Dept Biomed Engn, Lab Visual Sci, Inst Laser Med & Biophoton, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Spatiotemporal Properties of Multipeaked Electrically Evoked Potentials Elicited by Penetrative Optic Nerve Stimulation in Rabbits
cai jianmei	China:Second Mil Med Univ, Fac Naval Med, Dept Diving Med, Shanghai 200433,Peoples R China. Second Military Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Protective Effects of Hydrogen Saline on Diabetic Retinopathy in a Streptozotocin-Induced Diabetic Rat Model
cai jingjing	China:Hosp Eye, Wenzhou Med Coll, Hangzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Pretreatment with Proteasome Inhibitors Protects against Oxidative Injuries via PPAR alpha-Dependent and -Independent Pathways in ARPE-19 Cells
cai jiping	China:Second Mil Med Univ, Affiliated Hosp 2, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of intravitreal injection of bevacizumab-chitosan nanoparticles on retina of diabetic rats
cai jiping	China:Second Mil Med Univ, Affiliated Hosp 2, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Protective Effects of Hydrogen Saline on Diabetic Retinopathy in a Streptozotocin-Induced Diabetic Rat Model
cai jiping	China:Second Mil Med Univ, Affiliated Hosp 2, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	OPHTHALMIC RESEARCH	Meta-Analysis of Association between the-2578C/A Polymorphism of the Vascular Endothelial Growth Factor and Retinopathy in Type 2 Diabetes in Asians and Caucasians
cai li	China:Jiangxi Res Inst Ophthalmol & Visual Sci, Nanchang 330006, Jiangxi,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Acetylcholinesterase function in apoptotic retina pigment epithelial cells induced by H2O2
cai na	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of adenovirus -mediated brain derived neurotrophic factor in early retinal neuropathy of diabetes in rats
cai na	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Expressions of survivin and vascular endothelial growth factor in a Murine model of proliferative retinopathy
cai na	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	PI3K/AKT/mTOR signaling pathway inhibitors in proliferation of retinal pigment epithelial cells
cai qian	China:Shandong Univ, Qi Lu Hosp, Dept Geriatr, Key Lab Cardiovasc Prote Shandong Prov, Jinan 250100, Shandong,Peoples R China. Shandong University	MOLECULAR VISION	Effects of phlorizin on diabetic retinopathy according to isobaric tags for relative and absolute quantification-based proteomics in db/db mice
cai suping	China:Jinan Univ, Shenzhen Eye Hosp, Shenzhen 518040,Peoples R China. Jinan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Structural Brain Abnormalities in Patients with Primary Open-Angle Glaucoma: A Study with 3T MR Imaging
cai suping	China:Jinan Univ, Shenzhen Eye Hosp, Shenzhen 518040,Peoples R China. Jinan University	EXPERIMENTAL EYE RESEARCH	Neuroprotective effects of C3 exoenzyme in excitotoxic retinopathy
cai suping	China:Jinan Univ, Shenzhen Eye Hosp, Shenzhen 518040,Peoples R China. Jinan University	PLOS ONE	Exome Sequencing Identifies Compound Heterozygous Mutations in CYP4V2 in a Pedigree with Retinitis Pigmentosa
cai suping	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041,Peoples R China. Sichuan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Neuroprotective Effects of C-Type Natriuretic Peptide on Rat Retinal Ganglion Cells
cai tao	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing,Peoples R China. Chongqing Medical University	PLOS ONE	Increased Expression of IL-22 Is Associated with Disease Activity in Behcet's Disease
cai xiaoyu	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	QUANTITATIVE ANALYSIS OF RHEGMATOGENOUS RETINAL DETACHMENT ASSOCIATED WITH CHOROIDAL DETACHMENT IN CHINESE USING UBM
cai xiaoling	China:Peking Univ, Peoples Hosp, Dept Endocrinol & Metab, Beijing 100871,Peoples R China. Peking University	PLOS ONE	Age at Diagnosis and C-Peptide Level Are Associated with Diabetic Retinopathy in Chinese
cai yan	China:Fourth Mil Med Univ, Dept Ophthalmol, Xijing Hosp, Xian 710032, Shaanxi,Peoples R China. Fourth Military Medical University	CURRENT EYE RESEARCH	Hypoxia Specific SDF-1 Expression by Retinal Pigment Epithelium Initiates Bone Marrow-derived Cells to Participate in Choroidal Neovascularization in a Laser-induced Mouse Model
