ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
duan xuanchu	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Descemet membrane detachment after trabeculectomy
fan fang	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Descemet membrane detachment after trabeculectomy
fang xiangming	China:China Agr Univ, Coll Econ & Management, Beijing 100094,Peoples R China. China Agricultural University	OPHTHALMIC EPIDEMIOLOGY	Socioeconomic Status and Lifetime Risk for Workplace Eye Injury Reported by a US Population Aged 50 Years and Over
feng kang	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CASE-CONTROL STUDY OF RISK FACTORS FOR NO LIGHT PERCEPTION AFTER OPEN-GLOBE INJURY Eye Injury Vitrectomy Study
feng kang	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	RISK FACTORS, ANATOMICAL, AND VISUAL OUTCOMES OF INJURED EYES WITH PROLIFERATIVE VITREORETINOPATHY Eye Injury Vitrectomy Study
gao f	China:Capital Univ Med Sci, Beijing TongRen Hosp, Beijing TongRen Eye Ctr, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	EYE	Review of 1375 enucleations in the TongRen Eye Centre, Beijing
gao h	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Major shifts in corneal transplantation procedures in north China: 5316 eyes over 12 years
gao h	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Partial lamellar keratoplasty for peripheral corneal disease using a graft from the glycerin-preserved corneoscleral rim
gao h	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Ring-shaped corneoscleral lamellar keratoplasty guided by high-definition optical coherence tomography and Scheimpflug imaging for severe Terrien's marginal corneal degeneration
gao h	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Combined penetrating keratoplasty and keratolimbal allograft transplantation in comparison with corneoscleral transplantation in the treatment of severe eye burns
gao na	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	ARCHIVES OF OPHTHALMOLOGY	Limbal Allografting From Living-Related Donors to Treat Partial Limbal Deficiency Secondary to Ocular Chemical Burns
gao xinrui	China:Tongji Univ, Sch Med, Shanghai Peoples Hosp 10, Dept Ophthalmol, Shanghai 200072,Peoples R China. Tongji University	JAMA OPHTHALMOLOGY	Pressure-Induced Stromal Keratopathy as a Result of Ocular Trauma After Laser In Situ Keratomileusis
gong lan	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	A Comparison of Cyclosporine 0.05% Ophthalmic Emulsion Versus Vehicle in Chinese Patients with Moderate to Severe Dry Eye Disease: An Eight-Week, Multicenter, Randomized, Double-Blind, Parallel-Group Trial
gu hanqing	China:Naval Gen Hosp, Dept Ophthalmol, Beijing 100048,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	F -heparin modified intraocular lenses in Rhesus monkeys
guo guangran	China:Shandong Univ, Qilu Hosp, Dept Rheumatol & Occupat Med, Jinan 250012, Shandong,Peoples R China. Shandong University	CUTANEOUS AND OCULAR TOXICOLOGY	Severe keloids caused by hydrogen cyanide injury: A case report
han bo	China:Huazhong Univ Sci & Technol, Union Hosp, Tongji Med Coll, Dept Ophthalmol, Wuhan 430074,Peoples R China. Huazhong University of Science & Technology	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Knockdown of Both p120 Catenin and Kaiso Promotes Expansion of Human Corneal Endothelial Monolayers via RhoA-ROCK-Noncanonical BMP-NF kappa B Pathway
han lei	China:Henan Eye Inst, Henan Key Lab Keratopathy, Zhengzhou 450003,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Spectrum of fungal keratitis in central China
he jia	China:Second Mil Med Univ, Hlth Stat Dept, Shanghai,Peoples R China. Second Military Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	A Comparison of Cyclosporine 0.05% Ophthalmic Emulsion Versus Vehicle in Chinese Patients with Moderate to Severe Dry Eye Disease: An Eight-Week, Multicenter, Randomized, Double-Blind, Parallel-Group Trial
hong jiaxu	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Vision-Related Quality of Life in Patients with Ocular Chemical Burns
hong jiaxu	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	An In Vivo Confocal Microscopy and Impression Cytology Analysis of Goblet Cells in Patients with Chemical Burns
hou guanghui	China:Jinan Univ, Affiliated Hosp 3, Dept Ophthalmol, Zhuhai 519000, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Implantation of Iakymenko keratoprosthesis in patients with severe ocular injury
hou lijie	China:Wenzhou Med Coll, Hosp Eye, Wenzhou,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Measurement of the Limbus-Insertion Distance in Adult Strabismus Patients with Anterior Segment Optical Coherence Tomography
hu andina	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	ARCHIVES OF OPHTHALMOLOGY	Limbal Allografting From Living-Related Donors to Treat Partial Limbal Deficiency Secondary to Ocular Chemical Burns
hu yuntao	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CASE-CONTROL STUDY OF RISK FACTORS FOR NO LIGHT PERCEPTION AFTER OPEN-GLOBE INJURY Eye Injury Vitrectomy Study
hu yuntao	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	RISK FACTORS, ANATOMICAL, AND VISUAL OUTCOMES OF INJURED EYES WITH PROLIFERATIVE VITREORETINOPATHY Eye Injury Vitrectomy Study
huang qiang	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	How Often Are Major Blood-Borne Pathogens Found in Eye Patients? A Serosurvey at an Eye Hospital in Southern China
huang ting	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	ARCHIVES OF OPHTHALMOLOGY	Limbal Allografting From Living-Related Donors to Treat Partial Limbal Deficiency Secondary to Ocular Chemical Burns
huang wanrang	China:STU CUHK Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Application of a modified pars plana lensectomy within traumatic eyes
huang xiaoyong	China:Third Mil Med Univ, Affiliated SW Hosp, Dept Ophthalmol, Chongqing 400038,Peoples R China. Third Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endotamponades in pars plana vitrectomy for metallic intraocular foreign body associated with endophthalmitis
huang yifei	China:Gen Hosp PLA, Dept Ophthalmol, Beijing 100853,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	An Alternative Method of Extraction: Use of a Catheter to Remove Intraocular Foreign Bodies During Vitrectomy
huang yifei	China:Gen Hosp PLA, Dept Ophthalmol, Beijing 100853,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Vitrectomy for the treatment of posttraumatic endophthalmitis
huang yifei	China:Peoples Liberat Army, Gen Hosp, Dept Ophthalmol, Sch Med, Beijing,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	A Simple Alternative Method for Extracting Multiple Intraocular Foreign Bodies
huang yusen	China:Shandong Eye Inst, Qingdao 266071, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Pediatric traumatic cataract and surgery outcomes in eastern China: a hospital-based study
huang zhenping	China:Nanjing Univ, Sch Med, Jinling Hosp, Dept Ophthalmol, Nanjing 210002, Jiangsu,Peoples R China. Nanjing University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Allogeneic corneoscleral limbus tissue transplantation for treatment of the necrosis in porphyria eye disease
jhanji vishal	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Thin lenticule Descemet's stripping automated endothelial keratoplasty: single, slow pass technique
jhanji vishal	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	JOURNAL OF AAPOS	Conjunctival rhinosporidiosis
jhanji vishal	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Demographic and Clinical Profile of Ocular Chemical Injuries in the Pediatric Age Group
jhanji vishal	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	CORNEA	Rupture Pressure of the Posterior Lamella Obtained During Big-Bubble Deep Anterior Lamellar Keratoplasty
jhanji vishal	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	CURRENT OPINION IN OPHTHALMOLOGY	Update on diagnosis and management of Descemet's membrane detachment
jia changkai	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	alpha A-crystallin in the pathogenesis and intervention of experimental murine corneal neovascularization
jia changkai	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Comparison of genome-wide gene expression in suture- and alkali burn-induced murine corneal neovascularization
jia changkai	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Selection of housekeeping genes for use in quantitative reverse transcription PCR assays on the murine cornea
jia songbai	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Descemet membrane detachment after trabeculectomy
jian xiangdong	China:Shandong Univ, Qilu Hosp, Dept Rheumatol & Occupat Med, Jinan 250012, Shandong,Peoples R China. Shandong University	CUTANEOUS AND OCULAR TOXICOLOGY	Severe keloids caused by hydrogen cyanide injury: A case report
jiang caihui	China:Chinese Peoples Liberat Army Gen Hosp, Dept Ophthalmol, Beijing 100853,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Intraocular Foreign Bodies in China: Clinical Characteristics, Prognostic Factors, and Visual Outcomes in 1421 Eyes
jiang feng	China:Nanjing Univ, Sch Med, Jinling Hosp, Dept Ophthalmol, Nanjing 210002, Jiangsu,Peoples R China. Nanjing University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Allogeneic corneoscleral limbus tissue transplantation for treatment of the necrosis in porphyria eye disease
jiang tao	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Vitrectomy combined with silicone oil tamponade in the treatment of severely traumatized eyes with the visual acuity of no light perception
jiang yang	China:Chinese Acad Med Sci, Dept Ophthalmol, Peking Union Med Coll Hosp, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPTOMETRY AND VISION SCIENCE	Mycobacterium massiliense Keratitis
jiang yanrong	China:Peking Univ, Peoples Hosp, Dept Ophthalmol, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CASE-CONTROL STUDY OF RISK FACTORS FOR NO LIGHT PERCEPTION AFTER OPEN-GLOBE INJURY Eye Injury Vitrectomy Study
jiang yanrong	China:Peking Univ, Peoples Hosp, Dept Ophthalmol, Beijing 100191,Peoples R China. Peking University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	RISK FACTORS, ANATOMICAL, AND VISUAL OUTCOMES OF INJURED EYES WITH PROLIFERATIVE VITREORETINOPATHY Eye Injury Vitrectomy Study
jiang zhenying	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinic study on silicone hydrogel contact lenses used as bandage contact lenses after LASEK surgery
jin rui	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Causes and treatments of traumatic secondary glaucoma
jing x	China:Beijing TongRen Hosp, Beijing TongRen Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	JOURNAL FRANCAIS D OPHTALMOLOGIE	A traumatic corneoscleral epithelial cyst
jing yang	China:Henan Eye Inst, Henan Key Lab Keratopathy, Zhengzhou 450003,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Spectrum of fungal keratitis in central China
jing yuan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	BMC OPHTHALMOLOGY	Causative organisms of post-traumatic endophthalmitis: a 20-year retrospective study
jonas jostb	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Prevalence and incidence of ocular trauma in North China: the Beijing Eye Study
labbe a	China:Beijing TongRen Hosp, Beijing TongRen Eye Ctr, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	JOURNAL FRANCAIS D OPHTALMOLOGIE	A traumatic corneoscleral epithelial cyst
lai jimmy	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	ACTA OPHTHALMOLOGICA	Effect on corneal endothelial cell count of traumatic microhyphaema and hyphaema
le qihua	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Vision-Related Quality of Life in Patients with Ocular Chemical Burns
le qihua	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	An In Vivo Confocal Microscopy and Impression Cytology Analysis of Goblet Cells in Patients with Chemical Burns
li b	China:Capital Univ Med Sci, Beijing TongRen Hosp, Beijing TongRen Eye Ctr, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	EYE	Review of 1375 enucleations in the TongRen Eye Centre, Beijing
li changyou	China:Qingdao Univ, SEI Joint Ophthalmol Program, Qingdao 266071,Peoples R China. Qingdao University	MOLECULAR VISION	S100A proteins in the pathogenesis of experimental corneal neovascularization
li changyou	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Selection of housekeeping genes for use in quantitative reverse transcription PCR assays on the murine cornea
li chaoyang	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Amniotic membrane extraction solution for ocular chemical burns
li fu	China:Shandong Univ, Dept Pediat Hematol, Qilu Childrens Hosp, Jinan,Peoples R China. Shandong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Knockdown of Both p120 Catenin and Kaiso Promotes Expansion of Human Corneal Endothelial Monolayers via RhoA-ROCK-Noncanonical BMP-NF kappa B Pathway
li hongni	China:Shantou Cent Hosp, Dept Ophthalmol, Shantou, Guangdong,Peoples R China. 	PLOS ONE	Epidemiology of Pediatric Ocular Trauma in the Chaoshan Region, China, 2001-2010
li j	China:Guangzhou Med Coll, Affiliated Hosp 1, Dept Ophthalmol, Guangzhou, Guangdong,Peoples R China. Guangzhou Medical University	EYE	Limbal stem cell transplantation: new progresses and challenges
li lq	China:Capital Univ Med Sci, Beijing TongRen Hosp, Beijing TongRen Eye Ctr, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	EYE	Review of 1375 enucleations in the TongRen Eye Centre, Beijing
li liping	China:Shantou Univ, Coll Med, Injury Prevent Res Ctr, Shantou, Guangdong,Peoples R China. Shantou University	PLOS ONE	Epidemiology of Patients Hospitalized for Ocular Trauma in the Chaoshan Region of China, 2001-2010
li liping	China:Shantou Univ, Coll Med, Injury Prevent Res Ctr, Shantou, Guangdong,Peoples R China. Shantou University	PLOS ONE	Epidemiology of Pediatric Ocular Trauma in the Chaoshan Region, China, 2001-2010
li mei	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Evaluation of Secondary Glaucoma Associated With Subluxated Lens Misdiagnosed as Acute Primary Angle-closure Glaucoma
li min	China:Peoples Hosp Guangxi Zhuang Autonomous Reg, Dept Ophthalmol, Nanning 530021, Guangxi,Peoples R China. 	CORNEA	A Novel Technique of Sutureless and Glueless Conjunctival Autografting in Pterygium Surgery by Electrocautery Pen
li qiyan	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	JAPANESE JOURNAL OF OPHTHALMOLOGY	Glass fragment in the anterior chamber caused corneal endothelial dysfunction eight years after penetrating trauma
li siyuan	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Comparison of genome-wide gene expression in suture- and alkali burn-induced murine corneal neovascularization
li siyuan	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Selection of housekeeping genes for use in quantitative reverse transcription PCR assays on the murine cornea
li suxia	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Eye Hosp, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Partial lamellar keratoplasty for peripheral corneal disease using a graft from the glycerin-preserved corneoscleral rim
