ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
bai yujing	China:Peking Univ, Peoples Hosp, Minist Educ, Dept Ophthalmol,Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Effect of anterior chamber paracentesis on initial treatment of acute angle closure
bai yujing	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510080, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Anti-proliferation effects of Sirolimus sustained delivery film in rabbit glaucoma filtration surgery
bai zhengzhong	China:Heilongjiang Inst Drug Control, Harbin, Heilongjiang Pr,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effect of menthol on ocular drug delivery
baig nb	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	EYE	Surgically induced astigmatism in phacoemulsification, pars plana vitrectomy, and combined phacoemulsification and vitrectomy: a comparative study
baig nafees	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong Eye Hosp, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Pressure-cornea-vascular index (PCVI) for predicting disease progression in normal tension glaucoma
bao fangjun	China:Hosp Eye, Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EXPERIMENTAL EYE RESEARCH	Effect of glucose on the stress-strain behavior of ex-vivo rabbit cornea
bao fangjun	China:Hosp Eye, Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	JOURNAL OF REFRACTIVE SURGERY	Biometry of the Cornea in Myopic Chinese Patients
bao fangjun	China:Hosp Eye, Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	JOURNAL OF REFRACTIVE SURGERY	Assessment of Corneal Biomechanical Behavior Under Posterior and Anterior Pressure
bao fangjun	China:Hosp Eye, Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	CORNEA	Comparison and Evaluation of Central Corneal Thickness Using 2 New Noncontact Specular Microscopes and Conventional Pachymetry Devices
bao huijing	China:Shanghai Jiao Tong Univ, Shanghai Peoples Hosp 6, Dept Ophthalmol, Shanghai 200233,Peoples R China. Shanghai Jiao Tong University	BMC OPHTHALMOLOGY	Retrospective analysis of changes in the anterior corneal surface after Q value guided LASIK and LASEK in high myopic astigmatism for 3 years
bao jinhua	China:Wenzhou Med Coll, Wenzhou,Peoples R China. Wenzhou Medical University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	An indirect method to compare the reference centres for corneal measurements
bao xiaoyan	China:Yiwu Cent Hosp, Dept Ophthalmol, Yiwu,Peoples R China. 	OPHTHALMOLOGICA	Comparison of fibrin sealant and sutures for conjunctival autograft fixation in pterygium surgery: One-year follow-up
baum larry	China:Chinese Univ Hong Kong, Sch Pharm, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	In Vitro Amyloid Aggregate Forming Ability of TGFBI Mutants that Cause Corneal Dystrophies
benzie benzie	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Antioxidant Content and Ultraviolet Absorption Characteristics of Human Tears
benzie benzie	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Do Multipurpose Solutions Damage Porcine Corneal Epithelial Cells?
benzie benzie	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Dry eye and blink rate simulation with a pig eye model
bi chunchao	China:Xian 4 Hosp, Dept Ophthalmol, Xian 710004, Shaanxi Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Multiple methods of surgical treatment combined with primary IOL implantation on traumatic lens subluxation/dislocation in patients with secondary glaucoma
bi hongsheng	China:Shandong Univ Tradit Chinese Med, Inst Eye, Jinan, Shandong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Intraocular Pressure and Associated Factors in Children: The Shandong Children Eye Study
bi hongsheng	China:Shandong Univ Tradit Chinese Med, Inst Eye, Jinan, Shandong,Peoples R China. 	OPHTHALMOLOGICA	Early clinical evaluation of AcrySof ReSTOR multifocal intraocular lens for treatment of cataract
bi miaomiao	China:Jilin Univ, China Japan Union Hosp, Dept Ophthalmol, Changchun 130033, Jilin Province,Peoples R China. Jilin University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Molecular mechanism of the inhibition effect of Celecoxib on corneal collagen degradation in three dimensions
bi miaomiao	China:Jilin Univ, China Japan Union Hosp, Dept Ophthalmol, Changchun 130033, Jilin Province,Peoples R China. Jilin University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Molecular mechanism of the inhibition effect of Lipoxin A4 on corneal dissolving pathology process
bi x	China:Shanghai Jiao Tong Univ, Sch Med, Shanghai Peoples Hosp 9, Dept Ophthalmol, Shanghai 200011,Peoples R China. Shanghai Jiao Tong University	EYE	The use of Medpor coated tear drainage tube in conjunctivodacryocystorhinostomy
bi y	China:Tongji Univ, Sch Med, Tongji Hosp, Dept Ophthalmol, Shanghai 200092,Peoples R China. Tongji University	BRITISH JOURNAL OF OPHTHALMOLOGY	Regression of mature lymphatic vessels in the cornea by photodynamic therapy
bi y	China:Tongji Univ, Sch Med, Tongji Hosp, Dept Ophthalmol, Shanghai 200092,Peoples R China. Tongji University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Central corneal epithelium self-healing after ring-shaped glycerin-cryopreserved lamellar keratoplasty in Terrien marginal degeneration
bi yingwen	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	CORNEA	Clinicopathological Features of a Suspected Case of Hereditary Benign Intraepithelial Dyskeratosis With Bilateral Corneas Involved: A Case Report and Mini Review
bian danmei	China:Nantong Univ, Affiliated Hosp, Dept Ophthalmol, Nantong 226001, Jiangsu Prov,Peoples R China. Nantong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effects of amniotic membrane transplantation on cytokines expression in chemically burned rat corneas
bian f	China:Huazhong Univ Sci & Technol, Dept Ophthalmol, Union Hosp Tongji Med Coll, Wuhan, Hubei Province,Peoples R China. Huazhong University of Science & Technology	BRITISH JOURNAL OF OPHTHALMOLOGY	Expression of glial cell-derived neurotrophic factor and its receptor in the stem-cell-containing human limbal epithelium
bian f	China:Huazhong Univ Sci & Technol, Dept Ophthalmol, Union Hosp Tongji Med Coll, Wuhan, Hubei Province,Peoples R China. Huazhong University of Science & Technology	OPHTHALMOLOGICA	Inhibitory effect of curcumin on corneal neovascularization in vitro and in vivo
bian f	China:Huazhong Univ Sci & Technol, Dept Ophthalmol, Union Hosp Tongji Med Coll, Wuhan, Hubei Province,Peoples R China. Huazhong University of Science & Technology	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Human Corneal Epithelium-Derived Thymic Stromal Lymphopoietin Links the Innate and Adaptive Immune Responses via TLRs and Th2 Cytokines
bian f	China:Huazhong Univ Sci & Technol, Dept Ophthalmol, Union Hosp Tongji Med Coll, Wuhan, Hubei Province,Peoples R China. Huazhong University of Science & Technology	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Production and Activity of Matrix Metalloproteinase-9 on the Ocular Surface Increase in Dysfunctional Tear Syndrome
bin wangbin	China:Peking Union Med Coll, Natl Res Inst Family Planning, Beijing 100021,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical CollegeNational Research Institute for Family Planning - China	ARCHIVES OF OPHTHALMOLOGY	Novel beta-Crystallin Gene Mutations in Chinese Families With Nuclear Cataracts
bin weiwen	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Visual Acuity and Subfoveal Choroidal Thickness: The Beijing Eye Study
boost mv	China:Hong Kong Polytech Univ, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CONTACT LENS & ANTERIOR EYE	Daily disposable lenses: The better alternative
boost mv	China:Hong Kong Polytech Univ, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Comparison of Contamination Rates of Designs of Rigid Contact Lens Cases
boost mv	China:Hong Kong Polytech Univ, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Cytotoxicity and effects on metabolism of contact lens care solutions on human corneal epithelium cells
boost mv	China:Hong Kong Polytech Univ, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Cytotoxicity of rigid gas-permeable lens care solutions
boost mv	China:Hong Kong Polytech Univ, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Amoebicidal Effects of Contact Lens Disinfecting Solutions
boost mv	China:Hong Kong Polytech Univ, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Do Multipurpose Solutions Damage Porcine Corneal Epithelial Cells?
boost mv	China:Hong Kong Polytech Univ, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Effect of Multipurpose Solutions against Acinetobacter Carrying QAC Genes
boost maureen	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CONTACT LENS & ANTERIOR EYE	Microbial adherence to cosmetic contact lenses
boost maureen	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	Do multipurpose contact lens disinfecting solutions work effectively against non-FDA/ISO recommended strains of bacteria and fungi?
boost maureen	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Adherence of Acanthamoeba to Lens Cases and Effects of Drying on Survival
boost maureen	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Non-Compliance and Microbial Contamination in Orthokeratology
boost maureen	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Corneal epithelial cell viability of an ex vivo porcine eye model
boost maureen	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Detection of Acanthamoeba in tap water and contact lens cases using polymerase chain reaction
boost maureen	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Contamination Risk of Reusing Daily Disposable Contact Lenses
cai jianqiu	China:Wenzhou Med Coll, Affiliated Hosp 2, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of myopic corneal diameter with the Orbscan II Topography System
cai jinhong	China:Xiamen Univ, Xiamen Eye Ctr, Xiamen 361001, Fujian Province,Peoples R China. Xiamen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinical analysis of tear film after lamellar keratoplasty
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	OPHTHALMOLOGY	Meta-analysis: Clinical Outcomes of Laser-Assisted Subepithelial Keratectomy and Photorefractive Keratectomy in Myopia
cai li	China:Fourth Mil Med Univ, Xijing Hosp, Dept Ophthalmol, Xian 710032, Shaanxi,Peoples R China. Fourth Military Medical University	MOLECULAR VISION	Reconstruction of the corneal epithelium with induced marrow mesenchymal stem cells in rats
cai rongrong	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	CORNEA	Clinicopathological Features of a Suspected Case of Hereditary Benign Intraepithelial Dyskeratosis With Bilateral Corneas Involved: A Case Report and Mini Review
cai suping	China:Jinan Univ, Shenzhen Eye Hosp, Shenzhen,Peoples R China. Jinan University	PLOS ONE	Exome Sequencing Identifies Compound Heterozygous Mutations in CYP4V2 in a Pedigree with Retinitis Pigmentosa
cai suping	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041, Sichuan Prov,Peoples R China. Sichuan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Arg124Cys mutation of the TGFBI gene in a Chinese pedigree of Reis-Bucklers corneal dystrophy
cai suping	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041, Sichuan Prov,Peoples R China. Sichuan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	TGFBI gene mutation analysis in a Chinese pedigree of Avellino corneal dystrophy
cai wanting	China:Shandong Univ Tradit Chinese Med, Jinan Shierming Eye Hosp, Ctr Eye, Jinan 250002,Peoples R China. 	OPHTHALMOLOGICA	Early clinical evaluation of AcrySof ReSTOR multifocal intraocular lens for treatment of cataract
cai weibin	China:Sun Yat Sen Univ, Zhongshan Sch Med, Dept Biochem, Guangzhou 510080, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Artemisinin Derivative Artesunate Inhibits Corneal Neovascularization by Inducing ROS-Dependent Apoptosis in Vascular Endothelial Cells
cai xiaojun	China:Wuhan Univ, Dept Ophthalmol, Zhongnan Hosp, Wuhan 430071, Hubei Province,Peoples R China. Wuhan University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	An improved surgical method to correct conjunctivochalasis: conjunctival semiperitomy based on corneal limbus with subconjunctival cauterization
cai xiaojun	China:Wuhan Univ, Dept Ophthalmol, Zhongnan Hosp, Wuhan 430071, Hubei Province,Peoples R China. Wuhan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effectiveness of amniotic membrane transplantation combined with mitomycin C in the treatment of pterygium: a meta-analysis
cai xiaoyu	China:Guangzhou Med Coll, Hosp 2, Dept Ophthalmol, Guangzhou, Guangdong,Peoples R China. Guangzhou Medical University	ACTA OPHTHALMOLOGICA	Early changes in clear cornea incision after phacoemulsification: an anterior segment optical coherence tomography study
cai xiaoyu	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Corneal Div, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CORNEA	Optical Coherence Tomography and Ultrasound Biomicroscopy Imaging of Opaque Corneas
cai xiaoyu	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Corneal Div, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Appositional Closure Identified by Ultrasound Biomicroscopy in Population-Based Primary Angle-Closure Glaucoma Suspects: The Liwan Eye Study
cai xiaoyu	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Corneal Div, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGICA	Anterior Segment OCT-Based Diagnosis and Management of Descemet's Membrane Detachment
cai xiaoyu	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Corneal Div, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Position of myopic iris-claw phakic intraocular lens by Scheimpflug photography and ultrasound biomicroscopy
cai ying	China:Wuxi Peoples Second Hosp, Jiangsu,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Effect of diclofenac sodium combined with nuclear rotation on the prevention of posterior capsule opacification: Two-year follow-up
cai youqun	China:Nanjing Matern & Child Hlth Care Hosp, Clin Lab, Nanjing,Peoples R China. 	MOLECULAR VISION	The role of eIF5A in epidermal growth factor-induced proliferation of corneal epithelial cell association with PI3-k/Akt activation
cao chunlin	China:Nanjing Univ, Sch Med, Jinling Hosp, Dept Ophthalmol, Nanjing 210002,Peoples R China. Nanjing University	BRITISH JOURNAL OF OPHTHALMOLOGY	Lornoxicam protects mouse cornea from UVB-induced damage via inhibition of NF-kappa B activation
cao dan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	ACTA OPHTHALMOLOGICA	Phacoemulsification combined with posterior capsulorhexis and anterior vitrectomy in the management of malignant glaucoma in phakic eyes
cao guiqun	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041,Peoples R China. Sichuan University	MOLECULAR VISION	TGFBI gene mutation analysis in a Chinese pedigree of Reis-Bucklers corneal dystrophy
cao he	China:Shantou Univ, Coll Med, Injury Prevent Res Ctr, Shantou, Guangdong,Peoples R China. Shantou University	PLOS ONE	Risk Factors for Acute Endophthalmitis following Cataract Surgery: A Systematic Review and Meta-Analysis
cao jin	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430060, Hubei Province,Peoples R China. Wuhan University	BMC OPHTHALMOLOGY	Prevalence of infectious keratitis in Central China
cao lei	China:China Med Univ, Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Provin,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinical effect of improved viscocanalostomy for the treatment of primary congenital glaucoma
cao lijun	China:Second Peoples Hosp Jinan, Dept Ophthalmol, Jinan 250001, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Comparative study of visual acuity and aberrations after intralase femtosecond LASIK: small corneal flap versus big corneal flap
cao lijun	China:Second Peoples Hosp Jinan, Dept Ophthalmol, Jinan 250001, Shandong,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Effect of irradiation time on riboflavin-ultraviolet-A collagen crosslinking in rabbit sclera
cao w	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Sch Shanghai Med, Shanghai 200031,Peoples R China. Fudan University	EYE	Paediatric bacterial keratitis cases in Shanghai: microbiological profile, antibiotic susceptibility and visual outcomes
cao weifang	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Anterior chamber depth and chamber angle and their associations with ocular and general parameters: The Beijing eye study
cao wenping	China:Harbin Med Coll, Affiliated Hosp 1, Hosp Eye, Harbin 150001, Heilongjiang,Peoples R China. Harbin Medical University	MOLECULAR VISION	Reduced penetrance in familial Avellino corneal dystrophy associated with TGFBI mutations
cao wenping	China:Harbin Med Coll, Affiliated Hosp 1, Hosp Eye, Harbin 150001, Heilongjiang,Peoples R China. Harbin Medical University	MOLECULAR VISION	Congenital anterior polar cataract associated with a missense mutation in the human alpha crystallin gene CRYAA
cao wenping	China:Harbin Med Coll, Affiliated Hosp 1, Hosp Eye, Harbin 150001, Heilongjiang,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Modified BIGH3 with an RGDRGD motif promotes human corneal epithelial cell adhesion and migration In Vitro
cao xiaoguang	China:NEI, Immunopathol Sect, Immunol Lab, NIH, Bethesda, MD 20892 USA. National Institutes of Health (NIH) - USA	SURVEY OF OPHTHALMOLOGY	Ophthalmic Manifestations and Histopathology of Xeroderma Pigmentosum: Two Clinicopathological Cases and a Review of the Literature
carley fionam	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	CORNEA	Donor Preparation Using Pneumatic Dissection in Endothelial Keratoplasty: DMEK or DSEK?
chai lijing	China:Peking Univ, Dept Ophthalmol, Hosp 3, Beijing 100191,Peoples R China. Peking University	CORNEA	Early Expression of Tumor Necrosis Factor alpha and Nuclear Factor Kappa B After Descemet Stripping Endothelial Keratoplasty in Rabbits
chai xinyu	China:Shanghai Jiao Tong Univ, Sch Biomed Engn, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	EXPERIMENTAL EYE RESEARCH	Corneal nerve morphology and sensitivity changes after ultraviolet A/riboflavin treatment
chan ben	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Orthokeratology practice in children in a university clinic in Hong Kong
chan ben	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Relationship between corneal topographical changes and subjective myopic reduction in overnight orthokeratology: a retrospective study
chan ben	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Do Fenestrations Affect the Performance of Orthokeratology Lenses?
chan ben	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Astigmatic Changes in Orthokeratology
chan chan	China:Tung Wah Eastern Hosp, Dept Ophthalmol, Hong Kong, Hong Kong,Peoples R China. 	JOURNAL OF REFRACTIVE SURGERY	Corneal Collagen Cross-linking Demarcation Line Depth Assessed by Visante OCT After CXL for Keratoconus and Corneal Ectasia
chan chan	China:Tung Wah Eastern Hosp, Dept Ophthalmol, Hong Kong, Hong Kong,Peoples R China. 	-SCIENCE AND CLINICAL PRACTICE	Clinical features and outcomes of Fusarium keratitis associated with contact lens wear
chan chan	China:Tung Wah Eastern Hosp, Dept Ophthalmol, Hong Kong, Hong Kong,Peoples R China. 	EYE	Corneal changes after a single session of selective laser trabeculoplasty for open-angle glaucoma
chan chan	China:Tung Wah Eastern Hosp, Dept Ophthalmol, Hong Kong, Hong Kong,Peoples R China. 	JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS	Measurement of Intraocular Pressure With Pressure Phosphene Tonometry in Children
chan chan	China:Tung Wah Eastern Hosp, Dept Ophthalmol, Hong Kong, Hong Kong,Peoples R China. 	JOURNAL OF GLAUCOMA	Predictors of Success in Selective Laser Trabeculoplasty for Chinese Open-angle Glaucoma
chan clementwainang	China:Tung Wah Eastern Hosp, Dept Ophthalmol, Causeway Bay, Hong Kong,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Capsule membrane growth complicating glaucoma and corneal decompensation after neodymium:YAG capsulotomy
chan elice	China:Private Eye Ctr, Hong Kong, Hong Kong,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Effect of laser in situ keratomileusis on rebound tonometry and Goldmann applanation tonometry
chan jessica	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Effect of Multipurpose Solutions against Acinetobacter Carrying QAC Genes
